time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448450000	20.2143	14.0545	4.78305	1.77972	0.585808	radar	12.9595	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1487	14.3005	4.80798	1.81538	0.594923	lidar	0.962727	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0878	14.5384	4.81719	1.83877	0.566559	radar	1.06249	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.955	14.7772	4.85706	1.90143	0.620375	lidar	13.9056	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.9214	14.9826	4.79814	1.88477	0.47376	radar	40.7965	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8923	15.2044	4.76613	1.8847	0.438315	lidar	7.54645	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7587	15.4	4.74321	2.01527	0.850864	radar	27.1232	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7238	15.5927	4.67205	2.02388	0.800542	lidar	17.2044	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.655	15.7853	4.62363	2.02739	0.684288	radar	25.964	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5295	15.9967	4.64555	2.07046	0.696493	lidar	1.44364	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4409	16.2125	4.64549	2.05507	0.509058	radar	5.02585	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.3084	16.3842	4.61336	2.09756	0.538985	lidar	7.5849	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1989	16.5719	4.59172	2.12309	0.54067	radar	5.22223	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0559	16.7838	4.63382	2.15533	0.545935	lidar	2.62411	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8767	16.9703	4.67096	2.25163	0.792197	radar	22.9036	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6947	17.2053	4.77753	2.2904	0.781744	lidar	16.8594	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.603	17.4105	4.73611	2.21093	0.348221	radar	33.7771	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.37	17.5916	4.80987	2.26774	0.401713	lidar	32.5159	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2399	17.7847	4.79525	2.24473	0.242677	radar	6.10912	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.1188	17.9878	4.78857	2.23998	0.217264	lidar	5.08434	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9598	18.1299	4.73993	2.31333	0.461708	radar	29.9998	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8248	18.2816	4.68452	2.33177	0.456265	lidar	4.4499	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6925	18.4248	4.61992	2.3471	0.438297	radar	45.6531	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4914	18.6169	4.69689	2.37418	0.442809	lidar	8.51208	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.3321	18.7465	4.64737	2.42147	0.544662	radar	29.5804	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1607	18.8945	4.63797	2.44774	0.54372	lidar	0.136937	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9724	19.0576	4.66641	2.46251	0.493919	radar	9.91154	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7368	19.1674	4.6881	2.51815	0.541441	lidar	17.5143	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5201	19.3224	4.74181	2.54559	0.53887	radar	31.2752	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.299	19.4939	4.81543	2.56304	0.517213	lidar	8.66441	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.1206	19.5835	4.7456	2.61398	0.613319	radar	56.6055	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.9147	19.7418	4.7879	2.62671	0.581901	lidar	7.33803	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7437	19.8611	4.73179	2.61052	0.410694	radar	32.5609	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.511	20.0311	4.81964	2.61538	0.379272	lidar	13.1471	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2572	20.1802	4.90981	2.63781	0.396593	radar	86.8434	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0784	20.3304	4.89075	2.6337	0.360221	lidar	11.7088	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8585	20.4219	4.8797	2.69082	0.507352	radar	4.623	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6437	20.5458	4.8894	2.70588	0.491071	lidar	1.97082	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3903	20.643	4.93589	2.76302	0.618212	radar	22.1294	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1353	20.6972	4.94304	2.8139	0.64895	lidar	7.81599	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8948	20.7717	4.9514	2.85272	0.673917	radar	0.637592	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6131	20.8122	4.99544	2.90557	0.699947	lidar	12.3102	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3849	20.8393	4.95916	2.96625	0.791744	radar	17.8086	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1332	20.8659	4.96187	3.01243	0.801915	lidar	0.870393	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8994	20.9121	4.93941	3.0145	0.655561	radar	5.04273	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7031	20.9657	4.8788	3.03101	0.637071	lidar	16.124	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4217	21.0251	4.95353	3.03787	0.564513	radar	59.5187	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1807	21.0631	4.95211	3.05746	0.550184	lidar	1.2439	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.947	21.0678	4.92751	3.09469	0.57817	radar	6.45489	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7025	21.0203	4.90332	3.15311	0.628787	lidar	11.0329	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4668	21.0153	4.88458	3.17556	0.589685	radar	2.73662	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2544	21.0161	4.83853	3.19927	0.584738	lidar	6.21614	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0052	21.0039	4.85293	3.22542	0.578976	radar	2.08157	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7966	20.961	4.79667	3.2674	0.607017	lidar	4.55008	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5046	20.9957	4.87663	3.22256	0.37463	radar	89.4273	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.234	21.0409	4.93063	3.2001	0.297197	lidar	14.2666	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	9.98449	21.0087	4.94271	3.24288	0.401406	radar	2.40011	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.80242	20.9705	4.84001	3.27472	0.426124	lidar	16.6312	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.55186	20.9636	4.84921	3.25813	0.296824	radar	4.89972	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.37019	20.909	4.75334	3.29297	0.335501	lidar	13.4642	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.15518	20.8439	4.72872	3.34369	0.443631	radar	9.67383	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.8677	20.8106	4.8194	3.34897	0.40924	lidar	12.2114	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.70038	20.7087	4.71675	3.41826	0.530585	radar	104.991	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41744	20.6114	4.80987	3.45133	0.533728	lidar	23.0261	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.1956	20.5287	4.80292	3.4861	0.558017	radar	0.728515	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94843	20.4502	4.83739	3.50564	0.539515	lidar	1.76524	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.74894	20.3354	4.81191	3.56677	0.641396	radar	10.2992	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42836	20.294	4.95679	3.53571	0.511411	lidar	34.2409	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.19453	20.2049	4.95975	3.54824	0.469703	radar	0.521549	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.92153	20.1346	5.02167	3.54121	0.40939	lidar	6.79454	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.69959	20.0328	5.00779	3.56236	0.40335	radar	1.4246	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.44436	19.9554	5.04063	3.55984	0.361249	lidar	3.18777	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.23765	19.8344	5.01628	3.59961	0.418931	radar	6.43656	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.96546	19.7581	5.07519	3.58671	0.35619	lidar	7.952	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.72298	19.6282	5.12421	3.63989	0.506045	radar	15.4177	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.54885	19.5106	5.0467	3.6772	0.532347	lidar	10.6259	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.38347	19.3537	4.98653	3.73703	0.606074	radar	31.6653	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.16308	19.2689	4.98033	3.73247	0.543124	lidar	13.0075	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	5.00975	19.1232	4.88929	3.76013	0.489088	radar	48.678	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
